Id,date,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,Usage_kWh
52,1/1/2018 13:00,0,16.63,0,100,21.55,46800,Weekday,Monday,Light_Load,3.67
53,1/1/2018 13:15,0,23.33,0,100,17.92,47700,Weekday,Monday,Light_Load,4.25
54,1/1/2018 13:30,0,16.74,0,100,21.25,48600,Weekday,Monday,Light_Load,3.64
55,1/1/2018 13:45,0,16.99,0,100,21.11,49500,Weekday,Monday,Light_Load,3.67
56,1/1/2018 14:00,0,23.4,0,100,17.99,50400,Weekday,Monday,Light_Load,4.28
57,1/1/2018 14:15,0,16.67,0,100,21.33,51300,Weekday,Monday,Light_Load,3.64
58,1/1/2018 14:30,0,18.25,0,100,20.28,52200,Weekday,Monday,Light_Load,3.78
59,1/1/2018 14:45,0,22.1,0,100,18.24,53100,Weekday,Monday,Light_Load,4.1
60,1/1/2018 15:00,0,16.7,0,100,21.3,54000,Weekday,Monday,Light_Load,3.64
61,1/1/2018 15:15,0,19.33,0,100,19.87,54900,Weekday,Monday,Light_Load,3.92
62,1/1/2018 15:30,0,21.35,0,100,18.86,55800,Weekday,Monday,Light_Load,4.1
63,1/1/2018 15:45,0,16.81,0,100,20.94,56700,Weekday,Monday,Light_Load,3.6
64,1/1/2018 16:00,0,20.45,0,100,19.01,57600,Weekday,Monday,Light_Load,3.96
65,1/1/2018 16:15,0,20.77,0,100,18.91,58500,Weekday,Monday,Light_Load,4
66,1/1/2018 16:30,0,16.81,0,100,20.94,59400,Weekday,Monday,Light_Load,3.6
67,1/1/2018 16:45,0,21.64,0,100,18.48,60300,Weekday,Monday,Light_Load,4.07
68,1/1/2018 17:00,0,19.19,0,100,19.52,61200,Weekday,Monday,Light_Load,3.82
69,1/1/2018 17:15,0,16.96,0,100,20.54,62100,Weekday,Monday,Light_Load,3.56
70,1/1/2018 17:30,0,23.51,0,100,17.18,63000,Weekday,Monday,Light_Load,4.1
71,1/1/2018 17:45,0,17.39,0,100,20.27,63900,Weekday,Monday,Light_Load,3.6
72,1/1/2018 18:00,0,17.35,0,100,20.32,64800,Weekday,Monday,Light_Load,3.6
73,1/1/2018 18:15,0,8.96,0,100,40.77,65700,Weekday,Monday,Light_Load,4
74,1/1/2018 18:30,0,5.47,0,100,53.01,66600,Weekday,Monday,Light_Load,3.42
75,1/1/2018 18:45,0,16.24,0,100,22.04,67500,Weekday,Monday,Light_Load,3.67
76,1/1/2018 19:00,0,22.57,0,100,17.75,68400,Weekday,Monday,Light_Load,4.07
77,1/1/2018 19:15,0,17.39,0,100,19.89,69300,Weekday,Monday,Light_Load,3.53
78,1/1/2018 19:30,0,20.74,0,100,18.25,70200,Weekday,Monday,Light_Load,3.85
79,1/1/2018 19:45,0,20.88,0,100,18.63,71100,Weekday,Monday,Light_Load,3.96
80,1/1/2018 20:00,0,17.35,0,100,20.1,72000,Weekday,Monday,Light_Load,3.56
81,1/1/2018 20:15,0,22.54,0,100,17.6,72900,Weekday,Monday,Light_Load,4.03
82,1/1/2018 20:30,0,19.55,0,100,18.79,73800,Weekday,Monday,Light_Load,3.74
83,1/1/2018 20:45,0,17.42,0,100,20.02,74700,Weekday,Monday,Light_Load,3.56
84,1/1/2018 21:00,0,24.26,0,100,17.1,75600,Weekday,Monday,Light_Load,4.21
85,1/1/2018 21:15,0,17.75,0,100,19.66,76500,Weekday,Monday,Light_Load,3.56
86,1/1/2018 21:30,0,17.42,0,100,19.86,77400,Weekday,Monday,Light_Load,3.53
87,1/1/2018 21:45,0,25.2,0,100,16.63,78300,Weekday,Monday,Light_Load,4.25
88,1/1/2018 22:00,0,17.5,0,100,19.77,79200,Weekday,Monday,Light_Load,3.53
89,1/1/2018 22:15,1.44,10.08,0,92.7,33.3,80100,Weekday,Monday,Light_Load,3.56
90,1/1/2018 22:30,4.21,0,0,65.71,100,81000,Weekday,Monday,Light_Load,3.67
91,1/1/2018 22:45,3.35,0,0,69.52,100,81900,Weekday,Monday,Light_Load,3.24
92,1/1/2018 23:00,3.74,0,0,68.64,100,82800,Weekday,Monday,Light_Load,3.53
93,1/1/2018 23:15,3.42,0,0,71.82,100,83700,Weekday,Monday,Light_Load,3.53
94,1/1/2018 23:30,2.95,0,0,73.94,100,84600,Weekday,Monday,Light_Load,3.24
95,1/1/2018 23:45,3.96,0,0,67.97,100,85500,Weekday,Monday,Light_Load,3.67
96,1/1/2018 0:00,3.46,0,0,70.3,100,0,Weekday,Monday,Light_Load,3.42
97,2/1/2018 0:15,3.1,0,0,71.82,100,900,Weekday,Tuesday,Light_Load,3.2
98,2/1/2018 0:30,4.61,0,0,64.1,100,1800,Weekday,Tuesday,Light_Load,3.85
99,2/1/2018 0:45,3.67,0,0,66.64,100,2700,Weekday,Tuesday,Light_Load,3.28
100,2/1/2018 1:00,3.6,0,0,68.12,100,3600,Weekday,Tuesday,Light_Load,3.35
101,2/1/2018 1:15,4.72,0,0,63.6,100,4500,Weekday,Tuesday,Light_Load,3.89
102,2/1/2018 1:30,3.53,0,0,68.07,100,5400,Weekday,Tuesday,Light_Load,3.28
103,2/1/2018 1:45,3.96,0,0,65.8,100,6300,Weekday,Tuesday,Light_Load,3.46
104,2/1/2018 2:00,4.82,0,0,61.71,100,7200,Weekday,Tuesday,Light_Load,3.78
105,2/1/2018 2:15,3.53,0,0,68.4,100,8100,Weekday,Tuesday,Light_Load,3.31
106,2/1/2018 2:30,4.36,0,0,63.67,100,9000,Weekday,Tuesday,Light_Load,3.6
107,2/1/2018 2:45,4.39,0,0,63.83,100,9900,Weekday,Tuesday,Light_Load,3.64
108,2/1/2018 3:00,3.71,0,0,66.24,100,10800,Weekday,Tuesday,Light_Load,3.28
109,2/1/2018 3:15,4.57,0,0,63.03,100,11700,Weekday,Tuesday,Light_Load,3.71
110,2/1/2018 3:30,4.03,0,0,66.21,100,12600,Weekday,Tuesday,Light_Load,3.56
111,2/1/2018 3:45,3.49,0,0,68.04,100,13500,Weekday,Tuesday,Light_Load,3.24
112,2/1/2018 4:00,4.64,0,0,64.25,100,14400,Weekday,Tuesday,Light_Load,3.89
113,2/1/2018 4:15,3.42,0,0,69.22,100,15300,Weekday,Tuesday,Light_Load,3.28
114,2/1/2018 4:30,3.49,0,0,68.48,100,16200,Weekday,Tuesday,Light_Load,3.28
115,2/1/2018 4:45,4.68,0,0,64.59,100,17100,Weekday,Tuesday,Light_Load,3.96
116,2/1/2018 5:00,3.42,0,0,68.77,100,18000,Weekday,Tuesday,Light_Load,3.24
117,2/1/2018 5:15,3.78,0,0,67.52,100,18900,Weekday,Tuesday,Light_Load,3.46
118,2/1/2018 5:30,4.07,0,0,66.97,100,19800,Weekday,Tuesday,Light_Load,3.67
119,2/1/2018 5:45,3.42,0,0,68.77,100,20700,Weekday,Tuesday,Light_Load,3.24
120,2/1/2018 6:00,3.96,0,0,67.97,100,21600,Weekday,Tuesday,Light_Load,3.67
121,2/1/2018 6:15,3.78,0,0,68.25,100,22500,Weekday,Tuesday,Light_Load,3.53
122,2/1/2018 6:30,3.24,0,0,70.27,100,23400,Weekday,Tuesday,Light_Load,3.2
123,2/1/2018 6:45,4.07,0,0,68.05,100,24300,Weekday,Tuesday,Light_Load,3.78
124,2/1/2018 7:00,3.35,0,0,70.71,100,25200,Weekday,Tuesday,Light_Load,3.35
125,2/1/2018 7:15,3.49,0,0,71.11,100,26100,Weekday,Tuesday,Light_Load,3.53
126,2/1/2018 7:30,4.57,0,0,80.95,100,27000,Weekday,Tuesday,Light_Load,6.3
127,2/1/2018 7:45,4.79,0,0,78.4,100,27900,Weekday,Tuesday,Light_Load,6.05
128,2/1/2018 8:00,4.54,0,0,82.9,100,28800,Weekday,Tuesday,Light_Load,6.73
129,2/1/2018 8:15,18.83,0.07,0,83.89,100,29700,Weekday,Tuesday,Light_Load,29.02
130,2/1/2018 8:30,28.66,0,0,84.97,100,30600,Weekday,Tuesday,Light_Load,46.19
131,2/1/2018 8:45,35.32,0,0,82.75,100,31500,Weekday,Tuesday,Light_Load,52.06
132,2/1/2018 9:00,12.53,0.11,0,97.6,100,32400,Weekday,Tuesday,Light_Load,56.2
133,2/1/2018 9:15,8.32,0,0,98.95,100,33300,Weekday,Tuesday,Medium_Load,56.84
134,2/1/2018 9:30,4.54,0.94,0,99.61,99.98,34200,Weekday,Tuesday,Medium_Load,51.26
135,2/1/2018 9:45,2.34,1.15,0,99.88,99.97,35100,Weekday,Tuesday,Medium_Load,48.13
136,2/1/2018 10:00,7.06,0.54,0,99.12,99.99,36000,Weekday,Tuesday,Medium_Load,52.81
137,2/1/2018 10:15,7.52,0.14,0,99.07,100,36900,Weekday,Tuesday,Maximum_Load,54.79
138,2/1/2018 10:30,8.35,0.11,0,98.79,100,37800,Weekday,Tuesday,Maximum_Load,53.21
139,2/1/2018 10:45,32.4,0,0,92.72,100,38700,Weekday,Tuesday,Maximum_Load,80.21
140,2/1/2018 11:00,25.49,0,0,95,100,39600,Weekday,Tuesday,Maximum_Load,77.58
141,2/1/2018 11:15,70.85,0,0,87.57,100,40500,Weekday,Tuesday,Maximum_Load,128.52
142,2/1/2018 11:30,78.48,0,0,87.87,100,41400,Weekday,Tuesday,Maximum_Load,144.47
143,2/1/2018 11:45,54.29,0,0,85.84,100,42300,Weekday,Tuesday,Maximum_Load,90.86
144,2/1/2018 12:00,66.06,0,0,88.15,100,43200,Weekday,Tuesday,Maximum_Load,123.3
145,2/1/2018 12:15,5.54,18.9,0,96.09,71.3,44100,Weekday,Tuesday,Medium_Load,19.22
146,2/1/2018 12:30,0,25.92,0,100,31.03,45000,Weekday,Tuesday,Medium_Load,8.46
147,2/1/2018 12:45,0,25.34,0,100,30.92,45900,Weekday,Tuesday,Medium_Load,8.24
148,2/1/2018 13:00,0,25.49,0,100,30.05,46800,Weekday,Tuesday,Medium_Load,8.03
149,2/1/2018 13:15,27.29,6.52,0,94.6,99.67,47700,Weekday,Tuesday,Medium_Load,79.67
150,2/1/2018 13:30,46.8,0,0,90.21,100,48600,Weekday,Tuesday,Medium_Load,97.85
151,2/1/2018 13:45,49.79,0,0,92.85,100,49500,Weekday,Tuesday,Medium_Load,124.45
152,2/1/2018 14:00,43.34,0,0,92.88,100,50400,Weekday,Tuesday,Medium_Load,108.61
153,2/1/2018 14:15,55.26,0,0,91.23,100,51300,Weekday,Tuesday,Medium_Load,123.12
154,2/1/2018 14:30,53.5,0,0,92.38,100,52200,Weekday,Tuesday,Medium_Load,129.1
155,2/1/2018 14:45,27.58,0,0,94.79,100,53100,Weekday,Tuesday,Medium_Load,82.08
156,2/1/2018 15:00,60.91,0,0,92.09,100,54000,Weekday,Tuesday,Medium_Load,143.89
157,2/1/2018 15:15,34.27,0,0,93.03,100,54900,Weekday,Tuesday,Medium_Load,86.9
158,2/1/2018 15:30,62.57,0,0,91.45,100,55800,Weekday,Tuesday,Medium_Load,141.44
159,2/1/2018 15:45,52.88,0,0,91.06,100,56700,Weekday,Tuesday,Medium_Load,116.53
160,2/1/2018 16:00,61.16,0,0,90.4,100,57600,Weekday,Tuesday,Medium_Load,129.31
161,2/1/2018 16:15,56.77,0,0,92.33,100,58500,Weekday,Tuesday,Medium_Load,136.44
162,2/1/2018 16:30,34.85,0,0,92.64,100,59400,Weekday,Tuesday,Medium_Load,85.72
163,2/1/2018 16:45,65.27,0,0,91.44,100,60300,Weekday,Tuesday,Medium_Load,147.46
164,2/1/2018 17:00,30.78,0,0,94.27,100,61200,Weekday,Tuesday,Medium_Load,86.94
165,2/1/2018 17:15,25.81,0,0,93.36,100,62100,Weekday,Tuesday,Maximum_Load,67.25
166,2/1/2018 17:30,50.04,0,0,91.79,100,63000,Weekday,Tuesday,Maximum_Load,115.78
167,2/1/2018 17:45,34.63,0,0,95.62,100,63900,Weekday,Tuesday,Maximum_Load,113.11
168,2/1/2018 18:00,11.74,1.04,0,98.85,99.99,64800,Weekday,Tuesday,Maximum_Load,76.75
169,2/1/2018 18:15,15.23,0.14,0,93.98,100,65700,Weekday,Tuesday,Maximum_Load,41.9
170,2/1/2018 18:30,19.94,0,0,88.24,100,66600,Weekday,Tuesday,Maximum_Load,37.4
171,2/1/2018 18:45,8.82,0.5,0,97.68,99.99,67500,Weekday,Tuesday,Maximum_Load,40.25
172,2/1/2018 19:00,1.98,1.58,0,99.84,99.9,68400,Weekday,Tuesday,Maximum_Load,34.92
173,2/1/2018 19:15,6.44,0.43,0,98.81,99.99,69300,Weekday,Tuesday,Maximum_Load,41.36
174,2/1/2018 19:30,2.52,1.37,0,99.76,99.93,70200,Weekday,Tuesday,Maximum_Load,35.96
175,2/1/2018 19:45,5.29,0.47,0,99.11,99.99,71100,Weekday,Tuesday,Maximum_Load,39.42
176,2/1/2018 20:00,4.68,0.5,0,99.26,99.99,72000,Weekday,Tuesday,Maximum_Load,38.16
177,2/1/2018 20:15,1.51,3.96,0,99.9,99.3,72900,Weekday,Tuesday,Medium_Load,33.23
178,2/1/2018 20:30,0,12.13,0,100,90.55,73800,Weekday,Tuesday,Medium_Load,25.88
179,2/1/2018 20:45,0,23.22,0,100,42.3,74700,Weekday,Tuesday,Medium_Load,10.84
180,2/1/2018 21:00,0,23.51,0,100,36.75,75600,Weekday,Tuesday,Medium_Load,9.29
181,2/1/2018 21:15,0,25.16,0,100,26.73,76500,Weekday,Tuesday,Medium_Load,6.98
182,2/1/2018 21:30,0,26.5,0,100,18.93,77400,Weekday,Tuesday,Medium_Load,5.11
183,2/1/2018 21:45,0,26.42,0,100,18.88,78300,Weekday,Tuesday,Medium_Load,5.08
184,2/1/2018 22:00,0,26.46,0,100,18.71,79200,Weekday,Tuesday,Medium_Load,5.04
185,2/1/2018 22:15,1.84,15.44,0,93.69,30.42,80100,Weekday,Tuesday,Maximum_Load,4.93
186,2/1/2018 22:30,5.22,0,0,66.44,100,81000,Weekday,Tuesday,Maximum_Load,4.64
187,2/1/2018 22:45,5.18,0,0,67.04,100,81900,Weekday,Tuesday,Maximum_Load,4.68
188,2/1/2018 23:00,5.11,0,0,67.54,100,82800,Weekday,Tuesday,Maximum_Load,4.68
189,2/1/2018 23:15,4.54,0,0,70.94,100,83700,Weekday,Tuesday,Light_Load,4.57
190,2/1/2018 23:30,4.25,0,0,73.23,100,84600,Weekday,Tuesday,Light_Load,4.57
191,2/1/2018 23:45,4.25,0,0,73,100,85500,Weekday,Tuesday,Light_Load,4.54
192,2/1/2018 0:00,4.21,0,0,73.84,100,0,Weekday,Tuesday,Light_Load,4.61
193,3/1/2018 0:15,4.61,0,0,70.71,100,900,Weekday,Wednesday,Light_Load,4.61
194,3/1/2018 0:30,4.54,0,0,71.25,100,1800,Weekday,Wednesday,Light_Load,4.61
195,3/1/2018 0:45,4.5,0,0,71.25,100,2700,Weekday,Wednesday,Light_Load,4.57
196,3/1/2018 1:00,4.61,0,0,70.4,100,3600,Weekday,Wednesday,Light_Load,4.57
197,3/1/2018 1:15,4.46,0,0,72.1,100,4500,Weekday,Wednesday,Light_Load,4.64
198,3/1/2018 1:30,4.57,0,0,71.25,100,5400,Weekday,Wednesday,Light_Load,4.64
199,3/1/2018 1:45,4.79,0,0,69.34,100,6300,Weekday,Wednesday,Light_Load,4.61
200,3/1/2018 2:00,4.5,0,0,71.25,100,7200,Weekday,Wednesday,Light_Load,4.57
201,3/1/2018 2:15,4.39,0,0,72.42,100,8100,Weekday,Wednesday,Light_Load,4.61
202,3/1/2018 2:30,4.75,0,0,69.88,100,9000,Weekday,Wednesday,Light_Load,4.64
203,3/1/2018 2:45,4.75,0,0,69.88,100,9900,Weekday,Wednesday,Light_Load,4.64
204,3/1/2018 3:00,4.75,0,0,69.33,100,10800,Weekday,Wednesday,Light_Load,4.57
205,3/1/2018 3:15,5.11,0,0,67.22,100,11700,Weekday,Wednesday,Light_Load,4.64
206,3/1/2018 3:30,4.72,0,0,70.1,100,12600,Weekday,Wednesday,Light_Load,4.64
207,3/1/2018 3:45,4.68,0,0,70.71,100,13500,Weekday,Wednesday,Light_Load,4.68
208,3/1/2018 4:00,4.46,0,0,71.57,100,14400,Weekday,Wednesday,Light_Load,4.57
209,3/1/2018 4:15,4.32,0,0,72.44,100,15300,Weekday,Wednesday,Light_Load,4.54
210,3/1/2018 4:30,4.46,0,0,71.87,100,16200,Weekday,Wednesday,Light_Load,4.61
211,3/1/2018 4:45,4.32,0,0,72.67,100,17100,Weekday,Wednesday,Light_Load,4.57
212,3/1/2018 5:00,4.32,0,0,72.97,100,18000,Weekday,Wednesday,Light_Load,4.61
213,3/1/2018 5:15,4.14,0,0,73.89,100,18900,Weekday,Wednesday,Light_Load,4.54
214,3/1/2018 5:30,4.21,0,0,73.55,100,19800,Weekday,Wednesday,Light_Load,4.57
215,3/1/2018 5:45,4.43,0,0,71.8,100,20700,Weekday,Wednesday,Light_Load,4.57
216,3/1/2018 6:00,4.5,0,0,71.25,100,21600,Weekday,Wednesday,Light_Load,4.57
217,3/1/2018 6:15,4.61,0,0,70.94,100,22500,Weekday,Wednesday,Light_Load,4.64
218,3/1/2018 6:30,4.36,0,0,72.35,100,23400,Weekday,Wednesday,Light_Load,4.57
219,3/1/2018 6:45,4.54,0,0,71.25,100,24300,Weekday,Wednesday,Light_Load,4.61
220,3/1/2018 7:00,4.28,0,0,72.76,100,25200,Weekday,Wednesday,Light_Load,4.54
221,3/1/2018 7:15,4.18,0,0,72.96,100,26100,Weekday,Wednesday,Light_Load,4.46
222,3/1/2018 7:30,4.25,0,0,82.14,100,27000,Weekday,Wednesday,Light_Load,6.12
223,3/1/2018 7:45,4.68,0,0,86.09,100,27900,Weekday,Wednesday,Light_Load,7.92
224,3/1/2018 8:00,4.36,0,0,91.02,100,28800,Weekday,Wednesday,Light_Load,9.58
225,3/1/2018 8:15,21.56,0,0.02,86.41,100,29700,Weekday,Wednesday,Light_Load,37.01
226,3/1/2018 8:30,35.86,0,0.03,90.13,100,30600,Weekday,Wednesday,Light_Load,74.59
227,3/1/2018 8:45,53.32,0,0.05,89.9,100,31500,Weekday,Wednesday,Light_Load,109.48
228,3/1/2018 9:00,31.82,0,0.05,95.71,100,32400,Weekday,Wednesday,Light_Load,105.08
229,3/1/2018 9:15,41.26,0,0.06,94.71,100,33300,Weekday,Wednesday,Medium_Load,121.79
230,3/1/2018 9:30,30.24,0,0.05,96.68,100,34200,Weekday,Wednesday,Medium_Load,114.48
231,3/1/2018 9:45,21.96,0,0.03,95.89,100,35100,Weekday,Wednesday,Medium_Load,74.2
232,3/1/2018 10:00,7.13,0.04,0.02,99.15,100,36000,Weekday,Wednesday,Medium_Load,54.32
233,3/1/2018 10:15,25.06,0,0.03,94.87,100,36900,Weekday,Wednesday,Maximum_Load,75.17
234,3/1/2018 10:30,12.24,0,0.03,97.85,100,37800,Weekday,Wednesday,Maximum_Load,58.07
235,3/1/2018 10:45,15.08,0,0.03,97.56,100,38700,Weekday,Wednesday,Maximum_Load,67.03
236,3/1/2018 11:00,31.64,0.04,0.03,92.06,100,39600,Weekday,Wednesday,Maximum_Load,74.59
237,3/1/2018 11:15,23.9,0,0.03,92.36,100,40500,Weekday,Wednesday,Maximum_Load,57.56
238,3/1/2018 11:30,48.06,0,0.04,85.32,100,41400,Weekday,Wednesday,Maximum_Load,78.62
239,3/1/2018 11:45,44.17,0,0.03,84.28,100,42300,Weekday,Wednesday,Maximum_Load,69.16
240,3/1/2018 12:00,44.78,0,0.03,85.57,100,43200,Weekday,Wednesday,Maximum_Load,74.05
241,3/1/2018 12:15,0.5,20.45,0.01,99.9,48.27,44100,Weekday,Wednesday,Medium_Load,11.27
242,3/1/2018 12:30,0,26.21,0,100,29.89,45000,Weekday,Wednesday,Medium_Load,8.21
243,3/1/2018 12:45,0,25.56,0,100,30.34,45900,Weekday,Wednesday,Medium_Load,8.14
244,3/1/2018 13:00,0,25.74,0,100,28.66,46800,Weekday,Wednesday,Medium_Load,7.7
245,3/1/2018 13:15,21.38,6.08,0.02,92.29,99.3,47700,Weekday,Wednesday,Medium_Load,51.26
246,3/1/2018 13:30,13.64,0,0.02,96.81,,48600,Weekday,Wednesday,Medium_Load,52.7
247,3/1/2018 13:45,17.24,0,0.03,95.55,,49500,Weekday,Wednesday,Medium_Load,55.84
248,3/1/2018 14:00,17.32,0,0.03,95.71,,50400,Weekday,Wednesday,Medium_Load,57.2
249,3/1/2018 14:15,30.6,0,0.04,92.86,,51300,Weekday,Wednesday,Medium_Load,76.57
250,3/1/2018 14:30,20.45,0,0.03,94.83,,52200,Weekday,Wednesday,Medium_Load,61.13
251,3/1/2018 14:45,26.42,0,0.03,92.98,,53100,Weekday,Wednesday,Medium_Load,66.74
252,3/1/2018 15:00,16.42,0,0.03,95.93,,54000,Weekday,Wednesday,Medium_Load,55.8
253,3/1/2018 15:15,18.25,0,0.03,95.31,,54900,Weekday,Wednesday,Medium_Load,57.46
254,3/1/2018 15:30,28.08,0,0.03,93.04,,55800,Weekday,Wednesday,Medium_Load,71.28
255,3/1/2018 15:45,28.62,0,0.03,93.13,,56700,Weekday,Wednesday,Medium_Load,73.15
256,3/1/2018 16:00,25.81,0,0.03,93.66,,57600,Weekday,Wednesday,Medium_Load,68.98
257,3/1/2018 16:15,27.79,0,0.04,95.05,,58500,Weekday,Wednesday,Medium_Load,85
258,3/1/2018 16:30,41.9,0,0.05,94.1,,59400,Weekday,Wednesday,Medium_Load,116.53
259,3/1/2018 16:45,39.06,0,0.05,94.98,,60300,Weekday,Wednesday,Medium_Load,118.62
260,3/1/2018 17:00,35.64,0,0.05,94.7,,61200,Weekday,Wednesday,Medium_Load,105.05
261,3/1/2018 17:15,52.96,0,0.06,93.57,,62100,Weekday,Wednesday,Maximum_Load,140.51
262,3/1/2018 17:30,41.15,0,0.05,94.06,,63000,Weekday,Wednesday,Maximum_Load,114.01
263,3/1/2018 17:45,39.2,0,0.06,95.48,,63900,Weekday,Wednesday,Maximum_Load,125.96
264,3/1/2018 18:00,13.25,1.69,0.03,98.42,99.97,64800,Weekday,Wednesday,Maximum_Load,73.62
265,3/1/2018 18:15,12.74,0.54,0.02,94.33,99.99,65700,Weekday,Wednesday,Maximum_Load,36.22
266,3/1/2018 18:30,18.43,0,0.02,90.75,100,66600,Weekday,Wednesday,Maximum_Load,39.82
267,3/1/2018 18:45,4.18,1.94,0.02,99.37,99.86,67500,Weekday,Wednesday,Maximum_Load,37.08
268,3/1/2018 19:00,5.47,0.18,0.02,99.2,100,68400,Weekday,Wednesday,Maximum_Load,42.98
